timestamp,time_rel_s,job_id,component_id,metric,unit,value
1790005980.007648,59.99817180633545,10798774,5100051,cpu_cores_used,cores,4.001497265110295
1790006040.008895,119.99941873550415,10798774,5100051,cpu_cores_used,cores,4.000416862725448
1790006100.007659,179.9981827735901,10798774,5100051,cpu_cores_used,cores,3.9999157290583427
1790006160.008474,239.99899792671204,10798774,5100051,cpu_cores_used,cores,4.000112321599215
1790006220.007783,299.9983067512512,10798774,5100051,cpu_cores_used,cores,4.000379416068105
1790006280.007261,359.99778485298157,10798774,5100051,cpu_cores_used,cores,3.999868125404225
1790006340.007966,419.99848985671997,10798774,5100051,cpu_cores_used,cores,3.9999530003030226
1790006400.007751,479.9982748031616,10798774,5100051,cpu_cores_used,cores,4.325515503625012
1790006460.007083,539.997606754303,10798774,5100051,cpu_cores_used,cores,4.000544542653595
1790006520.007061,599.9975848197937,10798774,5100051,cpu_cores_used,cores,3.999834795573557
1790006580.008821,659.9993448257446,10798774,5100051,cpu_cores_used,cores,4.000882640379066
1790006640.006913,719.9974367618561,10798774,5100051,cpu_cores_used,cores,4.000627224205634
1790005920.0094762,0.0,10798774,5100051,mem_active_kb,kB,88112.0
1790005980.008137,59.99866080284119,10798774,5100051,mem_active_kb,kB,88104.0
1790006040.009496,120.00001978874207,10798774,5100051,mem_active_kb,kB,88108.0
1790006100.00981,180.00033378601074,10798774,5100051,mem_active_kb,kB,88088.0
1790006160.0068889,239.9974126815796,10798774,5100051,mem_active_kb,kB,88088.0
1790006220.007806,299.9983298778534,10798774,5100051,mem_active_kb,kB,88088.0
1790006280.007126,359.9976499080658,10798774,5100051,mem_active_kb,kB,88088.0
1790006340.008018,419.9985418319702,10798774,5100051,mem_active_kb,kB,88088.0
1790006400.009585,480.00010871887207,10798774,5100051,mem_active_kb,kB,96420.0
1790006460.008926,539.9994497299194,10798774,5100051,mem_active_kb,kB,96420.0
1790006520.007547,599.9980707168579,10798774,5100051,mem_active_kb,kB,96420.0
1790006580.0094342,659.9999580383301,10798774,5100051,mem_active_kb,kB,96420.0
1790006640.0090702,719.9995939731598,10798774,5100051,mem_active_kb,kB,96420.0
