timestamp,time_rel_s,job_id,component_id,metric,unit,value
1790005980.007255,59.99839687347412,10798775,5100052,cpu_cores_used,cores,4.002151383767606
1790006040.009325,120.00046682357788,10798775,5100052,cpu_cores_used,cores,4.0010286345060475
1790006100.0080361,179.99917793273926,10798775,5100052,cpu_cores_used,cores,4.001585960124732
1790006160.009147,240.0002887248993,10798775,5100052,cpu_cores_used,cores,4.001259257209781
1790006220.0068,299.9979417324066,10798775,5100052,cpu_cores_used,cores,4.001489857777596
1790006280.006764,359.9979057312012,10798775,5100052,cpu_cores_used,cores,4.001335734215163
1790006340.007072,419.99821376800537,10798775,5100052,cpu_cores_used,cores,4.001312790806589
1790006400.0070558,479.998197555542,10798775,5100052,cpu_cores_used,cores,4.3458345076113805
1790006460.007424,539.9985659122467,10798775,5100052,cpu_cores_used,cores,4.001475433828253
1790006520.007209,599.9983508586884,10798775,5100052,cpu_cores_used,cores,4.000014336955277
1790006580.007761,659.998902797699,10798775,5100052,cpu_cores_used,cores,4.000796530072026
1790006640.006818,719.9979598522186,10798775,5100052,cpu_cores_used,cores,4.002062895451989
1790006700.008919,780.0000607967377,10798775,5100052,cpu_cores_used,cores,4.0010265677526995
1790006760.007275,839.9984169006348,10798775,5100052,cpu_cores_used,cores,4.001442965941628
1790006820.006877,899.9980187416077,10798775,5100052,cpu_cores_used,cores,4.000859882974643
1790005920.0088582,0.0,10798775,5100052,mem_active_kb,kB,87460.0
1790005980.0077,59.998841762542725,10798775,5100052,mem_active_kb,kB,87456.0
1790006040.009981,120.00112271308899,10798775,5100052,mem_active_kb,kB,87500.0
1790006100.010069,180.00121068954468,10798775,5100052,mem_active_kb,kB,87508.0
1790006160.007639,239.99878072738647,10798775,5100052,mem_active_kb,kB,87512.0
1790006220.0068228,299.9979646205902,10798775,5100052,mem_active_kb,kB,87468.0
1790006280.00661,359.9977517127991,10798775,5100052,mem_active_kb,kB,87464.0
1790006340.0071301,419.9982719421387,10798775,5100052,mem_active_kb,kB,87460.0
1790006400.008865,480.0000069141388,10798775,5100052,mem_active_kb,kB,95972.0
1790006460.009173,540.0003147125244,10798775,5100052,mem_active_kb,kB,95948.0
1790006520.007641,599.9987828731537,10798775,5100052,mem_active_kb,kB,95988.0
1790006580.0083551,659.9994969367981,10798775,5100052,mem_active_kb,kB,95980.0
1790006640.008835,719.9999768733978,10798775,5100052,mem_active_kb,kB,95952.0
1790006700.007383,779.9985249042511,10798775,5100052,mem_active_kb,kB,95964.0
1790006760.0072992,839.9984409809113,10798775,5100052,mem_active_kb,kB,95984.0
1790006820.006724,899.9978659152985,10798775,5100052,mem_active_kb,kB,95980.0
