timestamp,time_rel_s,job_id,component_id,metric,unit,value
1790005980.008467,59.99918174743652,10798767,5100081,cpu_cores_used,cores,4.000933322611034
1790006040.00946,120.00017476081848,10798767,5100081,cpu_cores_used,cores,4.000433791928516
1790006100.007384,179.99809885025024,10798767,5100081,cpu_cores_used,cores,4.000638416126129
1790006160.008457,239.9991717338562,10798767,5100081,cpu_cores_used,cores,4.001095121510637
1790006220.007709,299.99842381477356,10798767,5100081,cpu_cores_used,cores,4.001049874359194
1790006280.006957,359.9976718425751,10798767,5100081,cpu_cores_used,cores,4.00121681339673
1790006340.007703,419.9984178543091,10798767,5100081,cpu_cores_used,cores,4.001116918663826
1790006400.006777,479.99749183654785,10798767,5100081,cpu_cores_used,cores,4.346900421783281
1790006460.008496,539.9992108345032,10798767,5100081,cpu_cores_used,cores,4.0003853890949275
1790006520.006816,599.9975306987762,10798767,5100081,cpu_cores_used,cores,4.000278683518897
1790006580.0090392,659.9997539520264,10798767,5100081,cpu_cores_used,cores,4.0011850725380524
1790006640.0074298,719.9981446266174,10798767,5100081,cpu_cores_used,cores,4.000940646924046
1790006700.007804,779.998518705368,10798767,5100081,cpu_cores_used,cores,4.000975055337501
1790006760.0081239,839.9988386631012,10798767,5100081,cpu_cores_used,cores,4.000312001154003
1790006820.007244,899.9979588985443,10798767,5100081,cpu_cores_used,cores,4.0008919973829205
1790005920.0092852,0.0,10798767,5100081,mem_active_kb,kB,72636.0
1790005980.008916,59.99963068962097,10798767,5100081,mem_active_kb,kB,72620.0
1790006040.01012,120.00083470344543,10798767,5100081,mem_active_kb,kB,72620.0
1790006100.009463,180.00017786026,10798767,5100081,mem_active_kb,kB,72644.0
1790006160.006857,239.99757170677185,10798767,5100081,mem_active_kb,kB,72648.0
1790006220.007731,299.99844574928284,10798767,5100081,mem_active_kb,kB,72648.0
1790006280.006803,359.997517824173,10798767,5100081,mem_active_kb,kB,72628.0
1790006340.0077581,419.99847292900085,10798767,5100081,mem_active_kb,kB,72636.0
1790006400.008577,479.99929189682007,10798767,5100081,mem_active_kb,kB,81136.0
1790006460.010265,540.0009799003601,10798767,5100081,mem_active_kb,kB,81176.0
1790006520.007256,599.9979708194733,10798767,5100081,mem_active_kb,kB,81172.0
1790006580.009711,660.0004258155823,10798767,5100081,mem_active_kb,kB,81172.0
1790006640.009583,720.0002977848053,10798767,5100081,mem_active_kb,kB,81180.0
1790006700.006189,779.9969038963318,10798767,5100081,mem_active_kb,kB,81176.0
1790006760.008157,839.9988718032837,10798767,5100081,mem_active_kb,kB,81176.0
1790006820.007091,899.9978058338165,10798767,5100081,mem_active_kb,kB,81184.0
