timestamp,time_rel_s,job_id,component_id,metric,unit,value
1790005980.007458,59.998594999313354,10798770,5101160,cpu_cores_used,cores,3.993143706643806
1790006040.007188,119.99832510948181,10798770,5101160,cpu_cores_used,cores,3.9923512915836254
1790006100.0080252,179.99916219711304,10798770,5101160,cpu_cores_used,cores,3.992944292595342
1790006160.007505,239.99864196777344,10798770,5101160,cpu_cores_used,cores,3.995867979462668
1790006220.007516,299.9986529350281,10798770,5101160,cpu_cores_used,cores,3.9928326034931354
1790006280.007173,359.9983100891113,10798770,5101160,cpu_cores_used,cores,3.99435615747831
1790006340.0075362,419.9986732006073,10798770,5101160,cpu_cores_used,cores,3.995809151262691
1790006400.007033,479.9981701374054,10798770,5101160,cpu_cores_used,cores,4.336203023069615
1790006460.007228,539.9983649253845,10798770,5101160,cpu_cores_used,cores,3.99698702391625
1790006520.0066838,599.997820854187,10798770,5101160,cpu_cores_used,cores,3.996036235470332
1790006580.0076008,659.9987378120422,10798770,5101160,cpu_cores_used,cores,3.997605572736133
1790006640.0088692,720.000006198883,10798770,5101160,cpu_cores_used,cores,3.999415453234469
1790006700.007396,779.9985330104828,10798770,5101160,cpu_cores_used,cores,3.992264689300518
1790006760.008182,839.9993190765381,10798770,5101160,cpu_cores_used,cores,3.9937810104052573
1790006820.007157,899.9982941150665,10798770,5101160,cpu_cores_used,cores,3.9955682550586404
1790005920.008863,0.0,10798770,5101160,mem_active_kb,kB,78724.0
1790005980.009158,60.00029492378235,10798770,5101160,mem_active_kb,kB,78756.0
1790006040.007573,119.99870991706848,10798770,5101160,mem_active_kb,kB,78784.0
1790006100.0086322,179.99976921081543,10798770,5101160,mem_active_kb,kB,78780.0
1790006160.009335,240.00047206878662,10798770,5101160,mem_active_kb,kB,78804.0
1790006220.0062232,299.9973602294922,10798770,5101160,mem_active_kb,kB,78792.0
1790006280.007195,359.9983320236206,10798770,5101160,mem_active_kb,kB,78748.0
1790006340.007391,419.9985280036926,10798770,5101160,mem_active_kb,kB,78748.0
1790006400.0070882,479.99822521209717,10798770,5101160,mem_active_kb,kB,87504.0
1790006460.008847,539.9999840259552,10798770,5101160,mem_active_kb,kB,87508.0
1790006520.0082922,599.9994292259216,10798770,5101160,mem_active_kb,kB,87492.0
1790006580.007988,659.9991250038147,10798770,5101160,mem_active_kb,kB,87528.0
1790006640.009494,720.0006310939789,10798770,5101160,mem_active_kb,kB,87364.0
1790006700.009286,780.0004229545593,10798770,5101160,mem_active_kb,kB,87396.0
1790006760.006855,839.9979920387268,10798770,5101160,mem_active_kb,kB,87388.0
1790006820.007178,899.9983150959015,10798770,5101160,mem_active_kb,kB,87388.0
